$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category
A1091D,N166MT,Johns Hopkins All Childrens Hospital,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors
A10D6C,N167TV,Jeffrey Vinik,Gulfstream G550,GLF5,Civ,Bizjet,NHL,Tampa Bay Lightning,Don't you know who I am?
A10FE4,N168FA,Black Op Holding,SIAI Marchetti S.211,S211,Civ,Ciao,Target Practice,Jet Trainer,Zoomies
A1128A,N16854,OV10 Squadron,North American Rockwell OV-10D Bronco,V10,Civ,Eye In The Sky,Observation,Twin Boom,Joe Cool
A116EC,N17AZ,Trinity Air Ambulance,Learjet 35A,LJ35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors
A11921,N17ZP,Walmart,Cessna Citation Sovereign,C680,Civ,Join A Union,Corporate Dictatorship,Shop Local,As Seen on TV
A11999,N170EH,Honeywell International,Embraer EMB-170 LR,E170,Civ,Aerospace,Controls,Conglomerate,As Seen on TV
A11A73,N170PA,Phoenix Air,Gulfstream 1,G159,Civ,Historic,Government Contractor,Dirty Business,Hired Gun
A11AD7,N170TA,Keystone Aerial Surveys,Piper PA-23-250,PA27,Civ,Aerial Survey,Measuring Stick,Trundle Wheel,Ptolemy would be proud
A11CBB,N17085,10 Tanker Air Carrier,Douglas DC-10 30,DC10,Civ,Flying Fire Extinguisher,Air Attack,Wildfire,Aerial Firefighter
A11CE7,N171AC,Erickson Air-Crane,S-64F Skycrane,S64,Civ,Skycrane,Thunderbird 2,Annie,Big Hello
A11E2A,N171PA,Phoenix Air,Gulfstream 1,G159,Civ,Historic,Government Contractor,Dirty Business,Hired Gun
A11FB3,N1713P,Red Star Aero Services LLC,WSK Lim-5,MG17,Civ,Mig,1713,Made in Poland,Historic
A12002,N1715Y,Pacific Fleet Aviation,Piper PA-23-250,PA27,Civ,Aerial Survey,Measuring Stick,Trundle Wheel,Ptolemy would be proud
A1209E,N172AC,Erickson Air-Crane,S-64E Skycrane,S64,Civ,Skycrane,Thunderbird 2,Mariah,Big Hello
A121B2,N172MD,DC Aerial Photos,Cessna 172M Skyhawk,C172,Civ,Aerial Survey,Measuring Stick,Trundle Wheel,Ptolemy would be proud
A123D1,N1726M,Private,WSK Lim-5,MG17,Civ,Mig,1726,Made in Poland,Historic
A12455,N173AC,Erickson Air-Crane,S-64E Skycrane,S64,Civ,Skycrane,Thunderbird 2,Christine,Big Hello
A12598,N173PA,Phoenix Air,Gulfstream III,GLF3,Civ,Airborne Biomedical Containment System,Ebola,Dirty Business,Hired Gun
A127A4,N1737E,Keystone Aerial Surveys,Cessna C310R,C310,Civ,Aerial Survey,Measuring Stick,Trundle Wheel,Ptolemy would be proud
A12AB7,N1742R,Private,North American T-28D Trojan,T28,Civ,Basic Trainer,Radial Engine,Historic,Historic
A12E55,N17511,Private,DHC-1 Chipmunk 1B-2-S5,DHC1,Civ,Air Experience Flight,Jump Johnny Jump,Air Training Corps,Jump Johnny Jump
A12F7A,N176AC,Erickson Air-Crane,S-64E Skycrane,S64,Civ,Skycrane,Thunderbird 2,Lucille,Big Hello
A12F83,N176AM,Spectrum Health,Sikorsky S-76 C,S76,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors
A1320E,N17613,Private,Spartan Aircraft Executive 7W,SP7,Civ,Historic,Howard Hughes,Shiny,Historic
A13210,N17615,Private,Spartan Aircraft Executive 7W,SP7,Civ,Historic,Howard Hughes,Shiny,Historic
A1372C,N178CW,Private,Aero Vodochody L-39 C,L39,Civ,Do A Barrel Roll,Jet Trainer,Private Jet Fighter,Distinctive
A13733,N178DC,Private,DHC-1 Chipmunk 1B-2-S3,DHC1,Civ,Air Experience Flight,Jump Johnny Jump,Air Training Corps,Jump Johnny Jump
A137FC,N178MD,Private,Boeing Stearman B75 Kaydet,ST75,Civ,Radial Engine,Biplane,Wing Walk,Historic
A13811,N178N,Private,DHC-1 Chipmunk 1B-2-S5,DHC1,Civ,Air Experience Flight,Jump Johnny Jump,Air Training Corps,Jump Johnny Jump
A13ADC,N179CP,Civil Air Patrol,Cessna 182,C182,Civ,Air Force Auxiliary,Search and Rescue,Flying Vigilantes,CAP
A13D1C,N1791E,Sol Aerial Surveys,Cessna 310R,C310,Civ,Aerial Survey,Measuring Stick,Trundle Wheel,Ptolemy would be proud
A13E8C,N18CG,Corning,Dassault Falcon 900,F900,Civ,Glass Works,Apple Supplier,Bizjet,As Seen on TV
A13EBD,N18EF,Private,DHC-1 Chipmunk 1B-2-S3,DHC1,Civ,Air Experience Flight,Jump Johnny Jump,Air Training Corps,Jump Johnny Jump
A13F91,N18NT,Era Alaska,DHC-2 Beaver Turbo,DHC2,Civ,Extreme Weather,Polar Explorer,Brrrrrrrrrrrrrrr,Dogs with Jobs
A13F96,N18NY,The NY Football Giants,Gulfstream G500,GA5C,Civ,NFL,The Other Football,G-Men,Football
A1402E,N18V,Private,Beech Staggerwing UC-43BH,BE17,Civ,Biplane,Staggerwing,History,Historic
A142B0,N180WR,Private,DHC-1 Chipmunk 1B-2-S3,DHC1,Civ,Air Experience Flight,Jump Johnny Jump,Air Training Corps,Jump Johnny Jump
A14340,N18010,Private,DHC-1 Chipmunk 1B-2-S3,DHC1,Civ,Air Experience Flight,Jump Johnny Jump,Air Training Corps,Jump Johnny Jump
A14367,N18024,Private,DHC-1 Chipmunk 1B-2-S3,DHC1,Civ,Air Experience Flight,Jump Johnny Jump,Air Training Corps,Jump Johnny Jump
A1436B,N18028,Private,Beech Staggerwing D17S,BE17,Civ,Biplane,Staggerwing,History,Historic
