$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category
451E92,LZ-AOB,Government of Bulgaria,Airbus A319-112,A319,Gov,Utility,Multi-Role,Twin Engine,Passenger - Narrowbody
4614A6,OH-HVI,Finland Frontier Guard,Eurocopter AS332 Super Puma,AS32,Gov,Tactical Transport,Heavy Lift,Rotorcraft,Helicopter - Transport
4614A9,OH-HVL,Finnish Coast Guard,AgustaWestland AW.119,A119,Gov,Maritime Patrol,Light Lift,Rotorcraft,Helicopter - Utility
4614AA,OH-HVM,Finnish Coast Guard,AgustaWestland AW.119,A119,Gov,Maritime Patrol,Light Lift,Rotorcraft,Helicopter - Utility
4614AB,OH-HVN,Finnish Coast Guard,AgustaWestland AW.119,A119,Gov,Maritime Patrol,Light Lift,Rotorcraft,Helicopter - Utility
4614AC,OH-HVO,Finnish Coast Guard,AgustaWestland AW.119,A119,Gov,Maritime Patrol,Light Lift,Rotorcraft,Helicopter - Utility
4614AD,OH-HVP,Finnish Coast Guard,Eurocopter AS332 Super Puma,AS32,Gov,Maritime Patrol,Heavy Lift,Rotorcraft,Helicopter - Transport
4614AE,OH-HVQ,Finnish Coast Guard,Eurocopter AS332 Super Puma,AS32,Gov,Maritime Patrol,Heavy Lift,Rotorcraft,Helicopter - Transport
468111,273,Hellenic Air Force,Dassault Falcon 7X,FA7X,Gov,Utility,Long Range,Jet,Business Jet
4681E4,135L-484,Hellenic Air Force,Embraer Legacy 600,E35L,Gov,Utility,Long Range,Twin Engine,Business Jet
4682A6,678,Hellenic Air Force,Gulfstream G500,GLF5,Gov,Utility,Long Range,Jet,Business Jet
4682E6,742,Hellenic Air Force,Lockheed C-130H Hercules,C130,Gov,Tactical Transport,Heavy Lift,Rear Ramp,Tactical Airlift
4682F0,752,Hellenic Air Force,Lockheed C-130H Hercules,C130,Gov,Tactical Transport,Heavy Lift,Rear Ramp,Tactical Airlift
46A0C4,SX-HFD,Greek Fire Dept,MBB-Kawasaki BK 117 C-1,BK17,Gov,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
46A0C5,SX-HFE,Greek Fire Dept,MBB-Kawasaki BK 117 C-1,BK17,Gov,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
46A0C6,SX-HFF,Greek Fire Dept,Eurocopter AS332 Super Puma,AS32,Gov,Tactical Transport,Heavy Lift,Rotorcraft,Helicopter - Transport
46A0C7,SX-HFG,Greek Fire Dept,Eurocopter AS332 Super Puma,AS32,Gov,Tactical Transport,Heavy Lift,Rotorcraft,Helicopter - Transport
46F483,HC-31,Greek Coast Guard,Eurocopter AS365 N3 Dauphin,AS65,Gov,Maritime Patrol,All-Weather,Rotorcraft,Helicopter - Maritime
46F484,HC-32,Greek Coast Guard,Eurocopter AS365 N3 Dauphin,AS65,Gov,Maritime Patrol,All-Weather,Rotorcraft,Helicopter - Maritime
46F485,HC-33,Greek Coast Guard,Eurocopter AS365 N3 Dauphin,AS65,Gov,Maritime Patrol,All-Weather,Rotorcraft,Helicopter - Maritime
46F486,HC-34,Greek Coast Guard,Eurocopter AS365 N3 Dauphin,AS65,Gov,Maritime Patrol,All-Weather,Rotorcraft,Helicopter - Maritime
46F487,HC-35,Greek Coast Guard,Eurocopter AS365 N3 Dauphin,AS65,Gov,Maritime Patrol,All-Weather,Rotorcraft,Helicopter - Maritime
46F488,HC-36,Greek Coast Guard,Eurocopter AS365 N3 Dauphin,AS65,Gov,Maritime Patrol,All-Weather,Rotorcraft,Helicopter - Maritime
484122,P4-VIP,Equatorial Guinea,Gulfstream G500,GLF5,Gov,Utility,Long Range,Jet,Business Jet
484362,P4-KAZ,Mint Juleps Investments,Boeing 737-BBJ,B737,Gov,Utility,Multi-Role,Twin Engine,Passenger - Narrowbody
48448C,P4-SKN,Equatorial Guinea,Boeing 777-LR,B77L,Gov,Utility,Long Range,Twin Engine,Passenger - Widebody
484607,PH-CGN,Netherlands Coast Guard,Dornier Do 228-212,D228,Gov,Maritime Patrol,STOL,Twin Turboprop,Utility
484646,PH-CGC,Netherlands Coast Guard,Dornier Do 228-212,D228,Gov,Maritime Patrol,STOL,Twin Turboprop,Utility
484F76,PH-EUE,CHC Netherlands,AgustaWestland AW.139,A139,Gov,Utility,Medium Lift,Rotorcraft,Helicopter - Transport
484FD6,PH-FBH,Dutch Caribbean Coastguard,AgustaWestland AW.139,A139,Gov,Maritime Patrol,Medium Lift,Rotorcraft,Helicopter - Transport
484FD7,PH-DCG,Dutch Caribbean Coastguard,AgustaWestland AW.139,A139,Gov,Maritime Patrol,Medium Lift,Rotorcraft,Helicopter - Transport
4850BE,P4RMA,Libya,Dassault Falcon 900,F900,Gov,Utility,Long Range,Jet,Business Jet
485920,PH-GOV,Government of The Netherlands,Boeing 737-BBJ,B737,Gov,Utility,Multi-Role,Twin Engine,Passenger - Narrowbody
48D8E1,1502,Polish Air Force,Lockheed C-130E Hercules,C130,Gov,Tactical Transport,Heavy Lift,Rear Ramp,Tactical Airlift
48D8E2,1503,Polish Air Force,Lockheed C-130E Hercules,C130,Gov,Tactical Transport,Heavy Lift,Rear Ramp,Tactical Airlift
48D8E4,1505,Polish Air Force,Lockheed C-130E Hercules,C130,Gov,Tactical Transport,Heavy Lift,Rear Ramp,Tactical Airlift
48D960,0001,Polish Air Force,Gulfstream G550,GLF5,Gov,Utility,Long Range,Jet,Business Jet
48D961,0002,Polish Government,Gulfstream G550,GLF5,Gov,Utility,Long Range,Jet,Business Jet
48D980,0110,Polish Government,Boeing 737NG,B738,Gov,Utility,Multi-Role,Twin Engine,Passenger - Narrowbody
48D981,0112,Polish Air Force,Boeing 737NG-BBJ2,B738,Gov,Utility,Multi-Role,Twin Engine,Passenger - Narrowbody
48D982,0111,Polish Air Force,Boeing 737NG-BBJ2,B738,Gov,Utility,Multi-Role,Twin Engine,Passenger - Narrowbody
495238,CSTQX,Ceiba Intercontinental,Boeing 777-LR,B77L,Gov,Utility,Long Range,Twin Engine,Passenger - Widebody
49D428,OK-RLP,Czech Directorate of Civil Aviation,B350 Super King Air,B350,Gov,Utility,Multi-Role,Twin Turboprop,Utility
49D429,OK-ANS,Czech Directorate of Civil Aviation,B350 Super King Air,B350,Gov,Utility,Multi-Role,Twin Turboprop,Utility
49DF29,OK-WYI,Government of the Czech Republic,LET L-410 UVP-E,L410,Gov,Tactical Transport,STOL,Twin Turboprop,Tactical Airlift
4A8199,102004,Swedish Air Force,Gulfstream G-IV SP,GLF4,Gov,Utility,Long Range,Twin Engine,Business Jet
4A81F9,102002,Swedish Air Force,Gulfstream G-IV SP,GLF4,Gov,Utility,Long Range,Twin Engine,Business Jet
4A822A,102005,Swedish Air Force,Gulfstream G550 TP-102D,GLF5,Gov,Utility,Long Range,Jet,Business Jet
4AB421,SE-MAA,Swedish Coast Guard,DHC-8-315 MPA,DH8C,Gov,Maritime Patrol,Multi-Role,Twin Turboprop,Regional Passenger
4AB422,SE-MAB,Swedish Coast Guard,DHC-8-315 MPA,DH8C,Gov,Maritime Patrol,Multi-Role,Twin Turboprop,Regional Passenger
4AB423,SE-MAC,Swedish Coast Guard,DHC-8-315 MPA,DH8C,Gov,Maritime Patrol,Multi-Role,Twin Turboprop,Regional Passenger
4AB50D,SE-MHM,SAAB Aircraft,Air Tractor AT-802,AT8T,Gov,Utility,Low Altitude,Single Engine,Special Mission
4AB50E,SE-MHN,SAAB Aircraft,Air Tractor AT-802,AT8T,Gov,Utility,Low Altitude,Single Engine,Special Mission
4AB50F,SE-MHO,SAAB Aircraft,Air Tractor AT-802,AT8T,Gov,Utility,Low Altitude,Single Engine,Special Mission
