$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category
3E02F0,D-HSHS,Bundespolizei,Eurocopter EC120B Colibri,EC20,Pol,Training,Light Lift,Rotorcraft,Helicopter - Utility
3E037C,D-HSNC,Bundespolizei,Eurocopter EC135 T2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E037D,D-HSND,Bundespolizei,Eurocopter EC135 T2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E037E,D-HSNE,Bundespolizei,Eurocopter EC135 T2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0583,D-HTHB,Bundespolizei,MBB Bo 105,B105,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0584,D-HTHC,Bundespolizei,Eurocopter EC145 C-2,EC45,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
3E0585,D-HTHD,Bundespolizei,Eurocopter EC145 C-2,EC45,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
3E0716,D-HTWO,Bundespolizei,Eurocopter EC135 P2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A2E,D-HVBA,Bundespolizei,Eurocopter EC135 T1,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A30,D-HVBC,Bundespolizei,Eurocopter EC135 T1,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A31,D-HVBD,Bundespolizei,Eurocopter EC135 T1,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A32,D-HVBE,Bundespolizei,Eurocopter EC135 T1,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A33,D-HVBF,Bundespolizei,Eurocopter EC135 T1,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A34,D-HVBG,Bundespolizei,Eurocopter EC135 T1,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A35,D-HVBH,Bundespolizei,Eurocopter EC135 T1,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A36,D-HVBI,Bundespolizei,Eurocopter EC135 T1,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A37,D-HVBJ,Bundespolizei,Eurocopter EC135 T1,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A38,D-HVBK,Bundespolizei,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A39,D-HVBL,Bundespolizei,Eurocopter EC135 T2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A3A,D-HVBM,Bundespolizei,Eurocopter EC135 T2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A3B,D-HVBN,Bundespolizei,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A3C,D-HVBO,Bundespolizei,Eurocopter EC135 T2+,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A3D,D-HVBP,Bundespolizei,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A3E,D-HVBQ,Bundespolizei,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A3F,D-HVBR,Bundespolizei,Eurocopter EC135 T2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A40,D-HVBS,Bundespolizei,Eurocopter EC135 T2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A41,D-HVBT,Bundespolizei,Eurocopter EC135 T2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A42,D-HVBU,Bundespolizei,Eurocopter EC135 P2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A43,D-HVBV,Bundespolizei,Eurocopter EC135 T2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A44,D-HVBW,Bundespolizei,Eurocopter EC135 T2+,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A45,D-HVBX,Bundespolizei,Eurocopter EC135 T2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0A46,D-HVBY,Bundespolizei,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E1678,D-HZSA,Bundespolizei,Eurocopter EC135 T2+,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E1679,D-HZSB,Bundespolizei,Eurocopter EC135 T2+,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E167B,D-HZSD,Bundespolizei,Eurocopter EC135 T2+,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E167C,D-HZSE,Bundespolizei,Eurocopter EC135 T2+,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E167D,D-HZSF,Bundespolizei,Eurocopter EC135 T2+,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E167E,D-HZSG,Bundespolizei,Eurocopter EC135 T2+,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E167F,D-HZSH,Bundespolizei,Eurocopter EC135 T2+,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E1680,D-HZSI,Bundespolizei,Eurocopter EC135 T2+,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E1681,D-HZSJ,Bundespolizei,Eurocopter EC135 T2+,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E1682,D-HZSK,Bundespolizei,Eurocopter EC135 T2+,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E1683,D-HZSL,Bundespolizei,Eurocopter EC135 T2+,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E1685,D-HZSN,Bundespolizei,Eurocopter EC135 T2+,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E1686,D-HZSO,Bundespolizei,Eurocopter EC135 T2+,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E1687,D-HZSP,Bundespolizei,Eurocopter EC135 T2+,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E1688,D-HZSQ,Bundespolizei,Eurocopter EC135 T3,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E1689,D-HZSR,Bundespolizei,Eurocopter EC135 T3,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E168A,D-HZSS,Bundespolizei,Eurocopter EC135 T3,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3FF382,D-MBIE,Colombian National Police,Magni Gyro M-24 Orion,MM24,Pol,Utility,Light Lift,Rotorcraft,Utility
400994,G-BSWR,Police Service of Northern Ireland,BN Defender BN-2T-4S,BN2P,Pol,Utility,STOL,Twin Engine,Utility
400A64,G-POLJ,National Police Air Service,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
